Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,city,state,country,types
Lambic - Traditional,Brouwerij Lindemans,Brouwerij Lindemans Lindemans Oude Lambik,Notes:Only available straight from cask at the brewery or in a very few traditional pubs in the direct neighborhood of Vlezenbeek.\t,5.0,0,10,6,11,0,1,6,17,0,14,0,4,0,4.25,4.0,4.0,4.0,4.0,Vlezenbeek,,BE,Brewery
Lambic - Fruit,Brouwerij Oud Beersel,Brouwerij Oud Beersel Oud Beersel Oude Kriek Vieille,Notes:,6.5,15,21,28,42,6,4,29,102,0,81,12,15,8,4.160643,4.293173,4.104418,4.184739,4.12249,Beersel,,BE,Brewery
Lambic - Fruit,Brouwerij Oud Beersel,Brouwerij Oud Beersel Oud Beersel Framboise,Notes:,5.0,15,21,38,29,8,12,148,123,2,124,25,10,22,3.848921,3.820144,3.776978,3.78777,3.827338,Beersel,,BE,Brewery
Lambic - Gueuze,Brouwerij Oud Beersel,Brouwerij Oud Beersel Oud Beersel Oude Geuze Vieille,Notes:,6.0,0,10,41,38,16,12,64,183,0,87,21,7,14,4.057751,4.066869,4.007599,3.987842,4.042553,Beersel,,BE,Brewery
Lambic - Traditional,Brouwerij Oud Beersel,Brouwerij Oud Beersel Oud Beersel Lambik,Notes:,5.6,0,10,15,30,0,8,18,87,2,39,9,2,10,4.333333,3.833333,4.166667,4.333333,4.166667,Beersel,,BE,Brewery
Lambic - Fruit,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Oude Kriek,Notes:,6.0,15,21,30,34,9,0,36,157,0,91,6,5,8,4.01378,3.905512,3.883858,4.122047,3.923228,Dworp,,BE,Brewery
Lambic - Fruit,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Oudbeitje Lambic,Notes:,6.0,15,21,45,38,12,9,70,188,7,119,14,7,21,3.852041,3.47449,3.494898,3.818878,3.584184,Dworp,,BE,Brewery
Lambic - Fruit,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Hanssens Experimental Raspberry,Notes:Ale fermented with raspberries and matured in oak barrels.\t,6.0,15,21,76,32,15,3,119,241,5,138,15,7,23,3.671429,3.392857,3.178571,3.35,3.028571,Dworp,,BE,Brewery
Lambic - Fruit,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Hanssens Experimental Cassis,Notes:Ale brewed with black currants and matured in oak barrels.\t,6.0,15,21,60,35,7,6,68,182,0,97,5,3,2,3.75,3.613636,3.325758,3.772727,3.598485,Dworp,,BE,Brewery
Lambic - Fruit,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Scarenbecca Kriek,Notes:Lambic brewed with wild Belgian Schaerbeek sour cherries.\t,6.0,15,21,57,35,12,3,48,170,0,105,12,6,14,4.151163,3.767442,3.383721,4.104651,3.906977,Dworp,,BE,Brewery
Lambic - Gueuze,Hanssens Artisanaal bvba,Hanssens Artisanaal bvba Oude Gueuze,Notes:This is the result of blending different lambics of different ages. The second fermentation takes place inside the bottles and therefore they are stored for minimum six months in constant temperature kept cellars.\t,6.0,0,10,44,34,15,8,77,197,3,117,17,9,23,4.202186,4.019126,4.096995,4.255464,4.106557,Dworp,,BE,Brewery
Lambic - Fruit,Upland Brewing Company,Upland Brewing Company Peach Lambic,Notes:Formerly Peach Lambic\t,6.0,15,21,60,41,11,0,70,185,4,147,11,7,39,3.90625,3.6625,3.6875,3.8375,3.93125,Bloomington,IN,US,"Brewery, Bar, Eatery"
Lambic - Fruit,Upland Brewing Company,Upland Brewing Company Blackberry Lambic,"Notes:Blackberry is fermented by wild yeast and aged in oak casks for nearly a year. We then add whole blackberries grown in Indiana. The beer is bottle conditioned. Style is Sour Ale, ABV 6%.",6.0,15,21,57,28,11,1,103,219,0,117,5,5,3,3.992857,4.007143,4.028571,4.121429,4.092857,Bloomington,IN,US,"Brewery, Bar, Eatery"
Lambic - Fruit,Upland Brewing Company,Upland Brewing Company Strawberry Lambic,Notes:,6.95,15,21,51,32,6,5,65,227,1,145,11,0,13,3.782353,3.641176,3.852941,3.847059,3.947059,Bloomington,IN,US,"Brewery, Bar, Eatery"
Lambic - Fruit,Upland Brewing Company,Upland Brewing Company Persimmon Lambic,Notes:,6.95,15,21,54,28,5,10,69,233,0,117,4,3,12,4.117647,3.921569,4.068627,4.245098,4.284314,Bloomington,IN,US,"Brewery, Bar, Eatery"
Lambic - Fruit,Upland Brewing Company,Upland Brewing Company Cherry Lambic,"Notes:A blended work of art. This barrel-aged sour ale combines a traditional Belgian-style sour with whole Montmorency Cherries from Michigan. We ferment our base blonde ale over many months in oak tanks to produce tart flavors, fruity notes and funky character. Then, we select individual batches for fruiting with whole cherries that add intense cherry aromas and dark fruit flavors to the beer. The final blend is bottle conditioned, resulting in a fine carbonation and spritzy mouthfeel.\t",6.0,15,21,53,29,6,3,56,173,0,119,7,8,36,3.877049,3.778689,3.819672,3.844262,3.827869,Bloomington,IN,US,"Brewery, Bar, Eatery"
Lambic - Gueuze,Upland Brewing Company,Upland Brewing Company Sour Reserve,"Notes:BLEND 1: Batch Years Blended 2006 (our original batch of lambics), 2008, 2010BLEND 2: Batch Years Blended All 2008Sour Reserve is a tart, dry, and refreshing blond sour ale, with multiple layers of flavor by selecting premium barrels of aged Basis. Expect flavors of peach, cherry, wine, cider with rich aromas of lactic sourness and multiple fruity notes. Effervescent carbonation creates an inviting and experiential sour beer session.\t",6.0,0,10,81,40,5,6,74,284,8,141,15,15,38,4.269231,3.615385,4.153846,4.269231,4.153846,Bloomington,IN,US,"Brewery, Bar, Eatery"
Red Ale - Imperial,Upland Brewing Company,Upland Brewing Company Ard Ri,Notes:,9.5,55,85,20,65,31,85,87,33,0,32,97,4,132,3.671429,3.978571,3.835714,3.692857,3.735714,Bloomington,IN,US,"Brewery, Bar, Eatery"
Wheat Beer - Witbier,Upland Brewing Company,Upland Brewing Company Wheat Ale,"Notes:Upland Wheat Ale is a classic rendition of the Belgian Witbier (white beer) style. We brew it with organic coriander and orange zest to be light on the tongue and refreshingly tart. In the tradition of the Belgian Wit style, Upland Wheat Ale is unfiltered, allowing suspended yeast to create a cloudy, golden appearance. This is an everyday, every meal type of beer. It’s comforting on a cold winter day and refreshing on a hot summer evening. That’s why it’s one of our most popular brews and a flagship beer of our brewery.\t",4.5,10,20,21,32,14,15,25,71,0,78,33,38,77,3.496,3.496,3.556,3.524,3.876,Bloomington,IN,US,"Brewery, Bar, Eatery"
Lambic - Fruit,Brasserie Belle-Vue,Brasserie Belle-Vue Belle Vue Kriek,Notes:,5.2,15,21,6,25,3,5,71,44,0,62,7,0,3,3.592742,3.891129,3.423387,3.46371,3.455645,Sint-Pieters-Leeuw,,BE,Brewery
Lambic - Gueuze,Brasserie Belle-Vue,Brasserie Belle-Vue Belle Vue Gueuze,Notes:,5.5,0,10,23,38,4,10,91,101,3,44,18,4,41,3.146341,3.390244,3.195122,2.963415,3.170732,Sint-Pieters-Leeuw,,BE,Brewery
Lambic - Traditional,Café-Brouwerij Loterbol,Café-Brouwerij Loterbol Tuverbol,Notes:Brouwerij 3 Fonteinen & Café-Brouwerij Loterbol Tuverbol is a blend of 3 Fonteinen Lambik with Loterbol Blond.\t,11.0,0,10,33,43,40,19,48,157,0,91,30,15,24,4.163043,3.923913,3.847826,3.880435,3.836957,Diest,,BE,"Brewery, Bar"
Lambic - Traditional,Panil,Panil Panil Divina,Notes:,5.5,0,10,22,22,2,3,39,92,1,58,5,9,13,3.625,3.625,4.0,3.75,3.875,Torrechiara,,IT,Brewery
Sour - Flanders Red Ale,Panil,Panil Barriquée (Sour Version),Notes:Also known as Panil Barriquée RiservaThis is the version imported to the US.\t,8.0,10,25,43,40,10,6,86,160,1,98,30,18,37,3.985915,3.855634,3.767606,3.950704,3.90493,Torrechiara,,IT,Brewery
Sour - Flanders Red Ale,Panil,Panil Barriquée (Italy Version),Notes:This version is not exported to the US.\t,8.0,10,25,30,41,19,11,74,148,2,88,19,19,39,4.232143,4.102679,4.080357,4.245536,4.209821,Torrechiara,,IT,Brewery
Low Alcohol Beer,Binding-Brauerei AG,Binding-Brauerei AG Clausthaler Golden Amber,Notes:,0.3,10,20,22,38,29,40,65,16,0,13,70,4,81,3.178571,3.738095,3.261905,3.309524,3.392857,Frankfurt am Main,,DE,Brewery
Wheat Beer - Dunkelweizen,Binding-Brauerei AG,Binding-Brauerei AG Schöfferhofer Dunkles Hefeweizen,Notes:,5.0,10,15,17,63,7,16,57,31,0,58,12,20,93,3.56,3.88,3.48,3.66,3.7,Frankfurt am Main,,DE,Brewery
Wheat Beer - Hefeweizen,Binding-Brauerei AG,Binding-Brauerei AG Schofferhofer Grapefruit Hefeweizen,"Notes:As you might’ve guessed we’re from Germany, but what might surprise you is that we’re the world’s first Hefeweizen (wheat beer) grapefruit beer. Best served cold, it’s the perfect casual brew to cool you off during the summer, but it can be enjoyed all year round any time of the day. It’s a true 50/50 blend of total refreshment made from 50% Schofferhofer Hefeweizen blended with 50% carbonated juice of 100% natural ingredients.\t",2.5,10,15,11,27,8,6,60,101,1,122,9,5,28,3.24,3.3,3.02,3.16,3.32,Frankfurt am Main,,DE,Brewery
Wheat Beer - Hefeweizen,Binding-Brauerei AG,Binding-Brauerei AG Schöfferhofer Hefeweizen,Notes:,5.0,10,15,19,43,10,15,21,35,0,56,25,32,49,3.506993,3.909091,3.493007,3.444056,3.660839,Frankfurt am Main,,DE,Brewery
Wheat Beer - Kristallweizen,Binding-Brauerei AG,Binding-Brauerei AG Schöfferhofer Kristallweizen,Notes:,5.0,10,15,33,49,9,20,49,52,1,64,25,33,68,3.558824,3.705882,3.470588,3.426471,3.676471,Frankfurt am Main,,DE,Brewery
Low Alcohol Beer,Bitburger Brauerei,Bitburger Brauerei Bitburger Drive,Notes:,0.5,10,20,13,24,30,36,15,10,0,5,48,7,40,2.631579,3.105263,2.921053,2.789474,2.736842,Bitburg/Eifel,,DE,Brewery
Low Alcohol Beer,Bitburger Brauerei,Bitburger Brauerei Bitburger Alkoholfrei,Notes:,0.55,10,20,14,17,13,25,10,2,3,0,55,5,37,2.1875,2.875,2.0625,2.1875,2.3125,Bitburg/Eifel,,DE,Brewery
Pilsner - German,Bitburger Brauerei,Bitburger Brauerei Bitburger Premium Pils,"Notes:Marketed as Premium Beer in the USA.Note first the bright, fresh golden colour and rich frothy head so typical of this elegant Pilsner beer. Its refined herbal notes are delicately poised, followed by a nutty and honeyed aftertaste. The overall impression of this gently sparkling beer is one of deep harmony, with the unmistakeable bitterness of the hops balanced and contained by an agreeable, mellow sweetness in the body.\t",4.8,25,40,33,31,6,43,23,6,5,5,81,12,80,3.274892,3.430014,3.492063,3.502886,3.736652,Bitburg/Eifel,,DE,Brewery
Mild Ale - English Dark,Moorhouse's Brewery (Burnley) Ltd,Moorhouse's Brewery (Burnley) Ltd Black Cat,Notes:,3.4,20,30,15,116,9,66,83,21,0,17,50,6,154,3.735294,3.885621,3.676471,3.784314,3.986928,"Burnley, Lancashire",GB2,GB,Brewery
Mild Ale - English Dark,Motor City Brewing Works,Motor City Brewing Works Motor City Brewing Ghettoblaster,Notes:,4.2,20,30,25,48,22,46,67,44,3,32,70,11,155,3.324324,3.621622,3.283784,3.5,3.648649,Detroit,MI,US,"Brewery, Bar, Eatery"
Mild Ale - English Dark,Coopers Brewery Limited,Coopers Brewery Limited Coopers Dark Ale,"Notes:Like its more famous cousins, Coopers Dark Ale is made with all malt, and naturally conditioned in the bottle or keg. Roasted and chocolate malts produce a deep amber brew, with a rich, full-bodied flavour. As with all of our ales, rolling the bottle before pouring makes it even better. No additives. No preservatives.\t",4.5,20,30,12,79,5,45,81,22,0,24,35,5,106,3.227273,3.278409,3.164773,3.232955,3.465909,Leabrook,,AU,Brewery
Mild Ale - English Pale,Coopers Brewery Limited,Coopers Brewery Limited Coopers Mild Ale,"Notes:Like all of our ales, Coopers Mild Ale is naturally conditioned in the bottle or keg, without the use of any additives or preservatives. To give Mild Ale that distinctive cloudy appearance, make sure to roll the bottle before opening.\t",3.5,15,25,17,33,8,30,25,34,1,28,43,5,43,3.0625,3.0,2.875,2.979167,3.1875,Leabrook,,AU,Brewery
Pale Ale - English,Coopers Brewery Limited,Coopers Brewery Limited Coopers Sparkling Ale,"Notes:Little has changed since Thomas Cooper brewed his first batch of Sparkling Ale in 1862. It's still naturally conditioned in the bottle with our unique strain of Coopers yeast. To enjoy the complete Sparkling experience, roll the bottle to mix in the yeast sediment before pouring. No additives. No preservatives.\t",5.8,20,40,13,23,9,33,29,41,1,40,46,6,42,3.414021,3.489418,3.582011,3.566138,3.736772,Leabrook,,AU,Brewery
Pale Ale - English,Coopers Brewery Limited,Coopers Brewery Limited Coopers Original Pale Ale,"Notes:Our 'Pale' is naturally conditioned in the bottle or keg. This traditional Coopers brewing method produces the trademark sediment that gives our ales a distinctive, fine cloudy appearance.This beer is a deep golden colour and pours with a generous level of foam. To unlock its full flavour potential, make sure to roll before pouring. No additives. No preservatives.\t",4.5,20,40,9,20,3,37,19,21,0,17,66,4,37,3.04023,3.214559,3.166667,3.137931,3.350575,Leabrook,,AU,Brewery
Stout - Foreign / Export,Coopers Brewery Limited,Coopers Brewery Limited Coopers Best Extra Stout,"Notes:Now here's a beer with punch. Coopers Best Extra Stout is a beacon for lovers of a hearty brew. With its robust blend of fruit and chocolate flavours and bitter hop notes, it's everything a stout should be. An all malt brew that's naturally conditioned in the bottle, Coopers Best Extra Stout's unique rich, dark texture comes from our liberal use of specially roasted black malt. No additives. No preservatives.\t",6.3,30,70,5,65,22,75,47,16,0,23,43,10,98,3.753482,3.905292,3.710306,3.892758,3.870474,Leabrook,,AU,Brewery
Strong Ale - English,Coopers Brewery Limited,Coopers Brewery Limited Coopers Extra Strong Vintage Ale,Notes:,7.5,40,60,17,55,31,37,83,43,1,53,40,9,80,3.625,3.544922,3.582031,3.689453,3.619141,Leabrook,,AU,Brewery
Mild Ale - English Dark,Neustadt Springs Brewery,Neustadt Springs Brewery Neustadt 10w30,"Notes:A traditional dark English Mild. The term mild meaning “not bitter” does not refer to strength. Using pure natural spring water, New Zealand hops and imported specialty malts. Giving rich malt and light nut aromas and mellow malt and good hop notes to the palate. A smooth and easy drinkable ale.\t",5.5,20,30,6,59,9,40,75,14,1,24,31,5,129,3.401316,3.611842,3.421053,3.559211,3.625,Neustadt,ON,CA,Brewery
Mild Ale - English Dark,Eagle Rock Brewery,Eagle Rock Brewery Solidarity,Notes:,3.8,20,30,7,82,12,45,36,10,0,4,18,6,102,3.65,3.95,3.85,3.8,3.975,Los Angeles,CA,US,"Brewery, Bar, Beer-to-go"
Mild Ale - English Dark,Tooheys Brewing,Tooheys Brewing Tooheys Old,Notes:,4.8,20,30,8,59,10,54,50,9,0,4,36,9,100,3.234694,3.5,3.285714,3.346939,3.622449,,,AU,Brewery
Mild Ale - English Dark,Whistler Brewing Company,Whistler Brewing Company Original Black Tusk Ale,"Notes:To date, we have won 2 World Awards for this dark, English-style mild ale. You can expect a mild bitterness with notes of chocolate and roasted coffee, and a very clean finish.Oh, and Black Tusk Ale is named for a famous local landmark – the jet black core of a now-extinct volcano. A must-see when you next come to Whistler.\t",5.0,20,30,15,79,7,60,71,13,1,22,38,6,138,3.285714,3.619048,3.238095,3.309524,3.452381,Whistler,BC,CA,"Brewery, Bar, Eatery, Beer-to-go"
Mild Ale - English Dark,Northwoods Brewpub and Grill,Northwoods Brewpub and Grill Floppin' Crappie,Notes:,4.5,20,30,13,48,6,40,49,11,3,8,41,8,99,2.869565,3.391304,2.869565,2.847826,3.043478,Osseo,WI,US,"Brewery, Bar, Eatery, Beer-to-go"
Mild Ale - English Dark,Wandering Star Brewing Company,Wandering Star Brewing Company Mild At Heart,"Notes:‘Dark Mild’ English style session beer with the ABV and color of an Irish Stout but a nuttier, softer mouthfeel from crystal and chocolate malts, and a finishing dryness from aroma hops. Brewed for drinkability to extract the maximum complexity and flavor from a relatively ‘light’ beer, warm fermented to accentuate dark fruit and roast malt notes. Conceived for cask and perfect served as a Real Ale. Hopped with Cluster and Perle.29 IBU\t",4.3,20,30,7,50,8,23,31,7,0,6,15,12,77,4.25,4.0,3.75,4.083333,4.166667,Pittsfield,MA,US,"Brewery, Beer-to-go"
Mild Ale - English Dark,Calfkiller Brewing Company,Calfkiller Brewing Company J. Henry Mild Brown Ale,Notes:,5.9,20,30,4,11,0,5,18,1,0,5,4,1,24,4.0,3.5,4.5,4.0,4.0,Sparta,TN,US,"Brewery, Bar, Beer-to-go"
Mild Ale - English Dark,Nelson Brewing Company,Nelson Brewing Company After Dark Mild,"Notes:Nelson After Dark is a dark, British-style Dark Mild Ale, lightly hopped and brewed with the finest imported dark roasted malted barley that gives the beer lovely chocolate overtones and smooth easy drinking character.\t",5.0,20,30,9,59,5,35,60,28,1,32,34,9,88,3.727273,3.818182,3.681818,3.909091,4.045455,Chatham,GB2,GB,Brewery
Mild Ale - English Dark,Nelson Brewing Company,Nelson Brewing Company After Dark Mild,"Notes:Nelson After Dark is a dark, British-style Dark Mild Ale, lightly hopped and brewed with the finest imported dark roasted malted barley that gives the beer lovely chocolate overtones and smooth easy drinking character.\t",5.0,20,30,9,59,5,35,60,28,1,32,34,9,88,3.727273,3.818182,3.681818,3.909091,4.045455,Nelson,BC,CA,Brewery
Mild Ale - English Dark,Beacon Hotel (Sarah Hughes Brewery),Beacon Hotel (Sarah Hughes Brewery) Original Sarah Hughes Dark Ruby Mild,Notes:,6.0,20,30,7,49,5,21,83,55,0,69,14,14,50,3.636364,3.636364,3.454545,3.704545,3.477273,Sedgley,GB2,GB,"Brewery, Bar"
Mild Ale - English Dark,Pratt Street Ale House,Pratt Street Ale House Oliver's Dark Horse,Notes:,4.0,20,30,4,33,4,22,25,1,0,1,19,13,48,3.227273,3.818182,3.227273,3.272727,3.590909,Baltimore,MD,US,"Brewery, Bar, Eatery, Beer-to-go"
Mild Ale - English Dark,Daniel Thwaites Brewery PLC,Daniel Thwaites Brewery PLC Nutty Black,"Notes:Formerly called ""Dark Mild""\t",3.3,20,30,7,42,6,17,40,9,0,7,20,2,50,3.214286,3.714286,3.357143,3.428571,3.571429,Lancashire,GB2,GB,Brewery
Mild Ale - English Pale,Daniel Thwaites Brewery PLC,Daniel Thwaites Brewery PLC Thwaites Smooth,Notes:,3.4,15,25,3,17,0,3,8,3,0,1,9,3,10,2.833333,3.666667,3.333333,3.166667,3.833333,Lancashire,GB2,GB,Brewery
Mild Ale - English Pale,Daniel Thwaites Brewery PLC,Daniel Thwaites Brewery PLC Thoroughbred Gold,Notes:,4.0,15,25,6,15,5,15,12,9,0,9,16,2,18,3.3,3.6,3.4,3.4,3.6,Lancashire,GB2,GB,Brewery
Mild Ale - English Dark,Rudgate Brewery Limited,Rudgate Brewery Limited Ruby Mild,Notes:,4.4,20,30,8,30,5,15,36,14,0,15,13,8,46,3.5,3.875,3.75,3.75,3.875,Tockwith,GB2,GB,Brewery
Mild Ale - English Dark,Montana Brewing Company,Montana Brewing Company Fat Belly Amber,"Notes:A medium bodied ale with a complex malt profile. Flavors of bread, caramel, and hints of dark roasted malts.20 IBU\t",4.6,20,30,1,15,2,10,19,6,0,5,10,1,30,3.444444,3.5,3.777778,3.833333,3.888889,Billings,MT,US,"Brewery, Bar, Eatery, Beer-to-go"
Mild Ale - English Pale,Moab Brewery,Moab Brewery Dead Horse Amber Ale,Notes:Dead Horse Ale is named after the scenic overlook near Canyonlands. A traditional english mild ale with a well-balanced malt-to-hop ratio. The perfect beverage to compliment all foods\t,4.0,15,25,13,35,8,35,40,24,1,30,40,3,77,3.203704,3.314815,3.166667,3.240741,3.407407,Moab,UT,US,"Brewery, Bar, Eatery, Beer-to-go"
Mild Ale - English Pale,Cervecería Minerva,Cervecería Minerva Minerva Pale Ale,Notes:,6.0,15,25,8,14,7,32,31,18,0,19,49,1,50,3.2,3.8,3.5,3.7,3.8,Guadalajara (Jalisco),,MX,Brewery
Mild Ale - English Pale,Copper Dragon Brewery,Copper Dragon Brewery Golden Pippin Ale,Notes:,3.9,15,25,13,11,7,23,13,24,2,28,25,5,16,3.571429,3.428571,3.428571,3.428571,3.642857,Skipton,GB2,GB,Brewery
Mild Ale - English Pale,Rohrbach Brewing Company (Brewpub),Rohrbach Brewing Company (Brewpub) Next Door Ale,Notes:,5.6,15,25,1,8,1,6,6,1,0,1,12,1,17,3.5,3.333333,3.666667,3.5,3.666667,Rochester,NY,US,"Brewery, Bar, Eatery"
Mild Ale - English Pale,Purple Moose Brewery,Purple Moose Brewery Snowdonia Ale,Notes:A delightfully refreshing pale ale brewed with a delicate combination of aromatic hops.Our most popular session beer - the perfect thirst-quencher after a hard day's walking in the glorious mountains of Snowdonia!\t,3.6,15,25,2,0,2,4,0,2,0,2,4,0,1,3.25,3.25,3.25,3.75,3.5,Porthmadog,GB7,GB,Brewery
Mild Ale - English Pale,Granite Brewery & Restaurant,Granite Brewery & Restaurant Summer Ale,"Notes:This ale is golden in colour, clear and crisp. This beer proves a low alcohol can have taste. generous addition of wheat malt gives it a refreshing character.\t",4.0,15,25,10,23,6,13,12,18,0,19,17,3,30,2.833333,2.722222,3.277778,3.055556,3.277778,Toronto,ON,CA,"Brewery, Bar, Eatery, Beer-to-go"
Strong Ale - English,Granite Brewery & Restaurant,Granite Brewery & Restaurant Peculiar,"Notes:A strong English ale, not too hoppy and reddish brown in colour. It is a dark, malty brew, full in taste with a sweet dry finish.\t",5.6,40,60,11,60,17,40,81,30,1,34,45,19,97,3.666667,3.880952,3.857143,3.952381,3.833333,Toronto,ON,CA,"Brewery, Bar, Eatery, Beer-to-go"
Mild Ale - English Pale,Palos De Moguer - 82,Palos De Moguer - 82 Colón Rubia,Notes:This is an English style Golden Ale. It has a golden color from the combination of pale malts and Carmel malts. It contains hops which contribute greatly to providing its flavor and aroma. Developed with Munich malts. Developed with Saaz and Hallertauer hops.\t,5.0,15,25,4,7,4,22,17,9,0,6,28,0,32,3.333333,3.166667,3.333333,3.666667,3.666667,Bogota,,CO,"Brewery, Eatery"
Mild Ale - English Pale,"Badger Brewery, Hall and Woodhouse","Badger Brewery, Hall and Woodhouse England's Gold",Notes:,4.6,15,25,8,10,1,14,13,11,0,10,21,3,5,3.333333,3.583333,3.5,3.666667,3.583333,Blandford St. Mary,GB2,GB,Brewery
Mild Ale - English Pale,The Ship Inn,The Ship Inn Spring Mild,Notes:,0.0,15,25,0,9,1,6,7,3,0,0,4,1,16,3.666667,3.666667,3.833333,3.666667,3.833333,Milford,NJ,US,"Brewery, Bar, Eatery"
Mild Ale - English Pale,The Ship Inn,The Ship Inn Spring Mild,Notes:,0.0,15,25,0,9,1,6,7,3,0,0,4,1,16,3.666667,3.666667,3.833333,3.666667,3.833333,Alnwick,GB2,GB,"Brewery, Bar, Eatery, Beer-to-go"
Mild Ale - English Pale,Dostal Alley Brewpub,Dostal Alley Brewpub Jacob Mac Mild,Notes:,0.0,15,25,4,4,1,2,3,0,0,0,6,0,12,2.666667,3.0,2.333333,3.0,3.0,Central City,CO,US,"Brewery, Bar, Eatery"
Mild Ale - English Pale,Westerham Brewery Company Ltd,Westerham Brewery Company Ltd Finchcocks Original,Notes:,3.5,15,25,3,11,3,18,2,8,0,7,26,3,15,3.7,3.7,3.8,3.7,3.8,Edenbridge,GB2,GB,Brewery
Old Ale,Block 15 Brewery & Restaurant,Block 15 Brewery & Restaurant Figgy Pudding,"Notes:""Inspired by a 16th century English Christmas cake our Figgy Pudding is brewed with English Pale & Specialty malts & molasses and fermented with London ale yeast. After fermentation we matured Figgy Pudding in brandy barrels before conditioning with mission figs, Ceylon cinnamon and nutmeg.""64 cases of 750ml bottles produced in November 2010.Re-released in November 2011.\t",11.0,30,65,15,47,70,26,171,49,0,87,8,58,117,4.088235,3.970588,4.323529,4.264706,4.117647,Corvallis,OR,US,"Brewery, Bar, Eatery, Beer-to-go"
Old Ale,Fish Brewing Company / Fishbowl Brewpub,Fish Brewing Company / Fishbowl Brewpub Old Woody,Notes:,10.0,30,65,15,73,55,40,111,33,0,60,59,18,88,4.035,3.88,4.06,4.115,4.02,Olympia,WA,US,"Brewery, Bar, Eatery"
Wheat Beer - Dunkelweizen,Fish Brewing Company / Fishbowl Brewpub,Fish Brewing Company / Fishbowl Brewpub Leavenworth Boulder Bend Dunkelweizen,Notes:,4.7,10,15,9,55,4,29,53,18,0,27,21,12,114,3.125,3.4375,3.40625,3.125,3.21875,Olympia,WA,US,"Brewery, Bar, Eatery"
Winter Warmer,Fish Brewing Company / Fishbowl Brewpub,Fish Brewing Company / Fishbowl Brewpub Fish Tale Winterfish,Notes:,7.5,35,50,11,36,50,70,72,59,0,81,110,18,73,3.902299,3.885057,3.862069,3.902299,3.87931,Olympia,WA,US,"Brewery, Bar, Eatery"
Old Ale,Box Steam Brewery,Box Steam Brewery Dark & Handsome,Notes:,5.0,30,65,21,80,10,77,54,33,0,44,47,17,108,3.666667,3.472222,3.388889,3.583333,3.527778,Trowbridge,GB2,GB,Brewery
Pale Ale - American,Carton Brewing Company,Carton Brewing Company Boat,"Notes:Boat Beer is designed to be complex enough to merit drinking a few without being crippled by alcohol. Kolsch yeast and German malts are combined to be crisp and refreshing, while a generous amount of American hops have been added to keep it remarkable. Expect it to dance out of the glass with a whack of grapefruit and open into a crisp, stony tangle of white and yellow fruit with pine and moss notes. An IPA for everyday drinking, drink boat beer when you are thirsty from softball, fishing, or explaining why your team is best.Session AleABV: 4.2% | IBU: 35 | SRM: 3.5http://www.youtube.com/watch?v=NYLRXRjCq2c",4.2,25,50,32,35,14,58,33,86,6,111,106,11,62,4.388889,3.944444,4.222222,4.166667,4.111111,Atlantic Highlands,NJ,US,"Brewery, Bar, Beer-to-go"
Pale Ale - Belgian,Brasserie de la Senne,Brasserie de la Senne Taras Boulba,"Notes:Light blonde with 4.5% alc., generously hopped with the finest aromatic hops, giving it a very refreshing character and a scent reminiscent of citrus.\t",4.5,20,30,25,24,4,58,22,45,3,49,83,16,36,3.903571,4.017857,3.878571,3.978571,4.092857,Brussels,,BE,Brewery
Pale Ale - Belgian,Brasserie de la Senne,Brasserie de la Senne Zinnebir,Notes:,6.0,20,30,26,33,11,41,47,76,1,84,70,22,32,3.976562,4.085938,4.0625,4.023438,4.085938,Brussels,,BE,Brewery
Stout - Irish Dry,Brasserie de la Senne,Brasserie de la Senne Stouterik,Notes:,4.5,30,40,22,65,7,63,59,15,0,21,40,12,89,3.644068,3.889831,3.754237,3.745763,3.788136,Brussels,,BE,Brewery
Pale Ale - Belgian,Hardywood Park Craft Brewery,Hardywood Park Craft Brewery Singel,"Notes:Unfiltered, unpasteurized, and uninhibited, Hardywood Singel is a feat in balance. Sunshine golden with a fluffy head and a veil of Belgian ale yeast, Singel’s tropical fruit esters complement its spicy hop aromatics. Delicate in body, Singel’s mellow, dry finish culminates a truly ethereal experience. Hardywood Singel's stylistic inspiration originates with the Trappist brewers of western Europe, who are often celebrated for their gloriously complex dubbels and tripels, and whose devotion to crafting heavenly libations is second to none. Unknown to many, some of the Trappist brewers also brew a milder ale for daily consumption within the walls of the monastery. Hardywood Singel is our interpretation of this style.30 IBU\t",6.2,20,30,25,27,16,25,34,47,2,45,34,41,24,4.1,4.05,4.15,4.1,4.0,Richmond,VA,US,"Brewery, Bar, Beer-to-go"
